Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:06:00;2023-01-01 00:08:00;6.0;8.0;Machine 03
0;1;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 04
0;2;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 01
1;0;2023-01-01 00:19:00;2023-01-01 00:21:00;19.0;21.0;Machine 00
1;1;2023-01-01 00:15:00;2023-01-01 00:19:00;15.0;19.0;Machine 04
1;2;2023-01-01 00:13:00;2023-01-01 00:18:00;13.0;18.0;Machine 01
2;0;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 02
2;1;2023-01-01 00:04:00;2023-01-01 00:08:00;4.0;8.0;Machine 05
2;2;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 00
3;0;2023-01-01 00:17:00;2023-01-01 00:19:00;17.0;19.0;Machine 06
3;1;2023-01-01 00:14:00;2023-01-01 00:17:00;14.0;17.0;Machine 05
3;2;2023-01-01 00:13:00;2023-01-01 00:15:00;13.0;15.0;Machine 03
4;0;2023-01-01 00:13:00;2023-01-01 00:16:00;13.0;16.0;Machine 02
4;1;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 06
4;2;2023-01-01 00:08:00;2023-01-01 00:13:00;8.0;13.0;Machine 00
5;0;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 06
5;1;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 02
5;2;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 01
