,instance,status,obj,model time (s),total time (s),gap
0,BA_20_makespan,11,495.0,10.937999963760376,11.756621599197388,0.7717171717171717
0,BA_20_deadline,11,418.0,0.40000009536743164,0.9201221466064453,1.0
0,BA_20_makespan,11,484.0,36.319000005722046,37.0876624584198,0.7582644628099173
0,BA_20_makespan,11,448.0,120.39699983596802,121.12041163444519,0.7366071428571429
0,BA_20_deadline,11,434.0,0.5559999942779541,1.2721433639526367,1.0
0,URT_20_makespan,11,6154.0,55.93600010871887,56.70847249031067,0.019987000324991875
0,URT_20_deadline,11,6333.0,0.5829999446868896,1.1639633178710938,0.10026843518079899
0,BA_19_makespan,11,335.0,120.54099988937378,121.16885089874268,0.7074626865671642
0,URT_19_makespan,11,356.0,99.0460000038147,104.87797236442566,0.6741573033707865
0,URT_18_makespan,11,269.0,55.013999938964844,57.98572063446045,0.620817843866171
0,BA_01_makespan,2,44.0,0.003999948501586914,0.3547539710998535,0.0
0,BA_01_deadline,2,28.0,0.019999980926513672,0.17624807357788086,0.0
0,BA_02_makespan,2,44.0,0.0,0.1615428924560547,0.0
0,BA_02_deadline,2,28.0,0.0019998550415039062,0.182692289352417,0.0
0,BA_03_makespan,2,101.0,0.0,0.16587519645690918,0.0
0,BA_03_deadline,2,75.0,0.0,0.18508481979370117,0.0
0,BA_04_makespan,2,101.0,0.0,0.16836047172546387,0.0
0,BA_04_deadline,2,75.0,0.0,0.16749358177185059,0.0
0,BA_05_makespan,2,101.0,0.0,0.16764068603515625,0.0
0,BA_05_deadline,2,75.0,0.014000177383422852,0.17056751251220703,0.0
0,BA_06_makespan,2,98.0,0.0,0.1852095127105713,0.0
0,BA_06_deadline,2,74.0,0.01900005340576172,0.1652231216430664,0.0
0,BA_07_makespan,2,45.0,0.0820000171661377,0.25101685523986816,0.0
0,BA_07_deadline,2,11.0,0.054000139236450195,0.21594548225402832,0.0
0,BA_08_makespan,2,46.0,0.06200003623962402,0.2377917766571045,0.0
0,BA_08_deadline,2,25.0,0.46000003814697266,0.633901834487915,0.0
0,BA_09_makespan,2,98.0,0.0,0.16823244094848633,0.0
0,BA_09_deadline,2,74.0,0.01699995994567871,0.18859028816223145,0.0
0,BA_10_makespan,2,65.0,0.3379998207092285,0.5157229900360107,0.0
0,BA_10_deadline,2,29.0,0.3969998359680176,0.6551296710968018,0.0
0,BA_11_makespan,2,81.0,0.9049999713897705,1.097296953201294,0.0
0,BA_11_deadline,2,34.0,1.0540001392364502,1.2140533924102783,0.0
0,BA_12_makespan,2,64.0,5.6600000858306885,5.847141265869141,0.0
0,BA_12_deadline,2,20.0,6.148000001907349,6.343944787979126,0.0
0,BA_13_makespan,2,86.0,161.01500010490417,161.2177586555481,0.0
0,BA_13_deadline,2,19.0,31.50599980354309,31.74339199066162,0.0
0,BA_14_makespan,11,147.0,0.19499993324279785,0.4947185516357422,0.6054421768707483
0,BA_01_makespan,2,44.0,0.003999948501586914,11.373078107833862,0.0
0,BA_01_makespan,2,44.0,0.0,0.3571898937225342,0.0
0,BA_01_deadline,2,28.0,0.0,0.15411806106567383,0.0
0,BA_02_makespan,2,44.0,0.003000020980834961,0.1641838550567627,0.0
0,BA_02_deadline,2,28.0,0.002000093460083008,0.16852474212646484,0.0
0,BA_03_makespan,2,101.0,0.004000186920166016,0.16877079010009766,0.0
0,BA_03_deadline,2,75.0,0.015999794006347656,0.17046570777893066,0.0
0,BA_04_makespan,2,101.0,0.0,0.1763606071472168,0.0
0,BA_04_deadline,2,75.0,0.0,0.16977572441101074,0.0
0,BA_05_makespan,2,101.0,0.0,0.1817317008972168,0.0
0,BA_05_deadline,2,75.0,0.016000032424926758,0.1729722023010254,0.0
0,BA_06_makespan,2,98.0,0.004000186920166016,0.18630695343017578,0.0
0,BA_06_deadline,2,74.0,0.0,0.1698932647705078,0.0
0,BA_07_makespan,2,45.0,0.09200000762939453,0.25127601623535156,0.0
0,BA_07_deadline,2,11.0,0.043000221252441406,0.21859121322631836,0.0
0,BA_08_makespan,2,46.0,0.04900002479553223,0.22829699516296387,0.0
0,BA_08_deadline,2,25.0,0.43600010871887207,0.5826818943023682,0.0
0,BA_09_makespan,2,98.0,0.0,0.18542718887329102,0.0
