,instance,status,obj,model time (s),total time (s),gap
0,BAG_10_p2_1_makespan,2,6346.0,7.531999826431274,7.581347703933716,0.0
0,BAG_10_p2_1_deadline,2,5266.0,3.00600004196167,3.054831027984619,0.0
0,BAG_10_p2_2_makespan,2,6071.0,2.436000108718872,2.4859108924865723,0.0
0,BAG_10_p2_2_deadline,2,4991.0,3.0480000972747803,3.0978095531463623,0.0
0,BAG_10_p2_3_makespan,2,6160.0,3.9760000705718994,4.027240991592407,0.0
0,BAG_10_p2_3_deadline,2,5080.0,4.427000045776367,4.47600793838501,0.0
0,BAG_10_p2_4_makespan,2,6431.0,2.571000099182129,2.62080717086792,0.0
0,BAG_10_p2_4_deadline,2,5351.0,2.8399999141693115,2.8898138999938965,0.0
0,BAG_10_p2_5_makespan,2,6678.0,2.4570000171661377,2.5088303089141846,0.0
0,BAG_10_p2_5_deadline,2,5598.0,1.8299999237060547,1.8787710666656494,0.0
0,BAG_10_p3_1_makespan,2,7390.0,1.8510000705718994,1.8999583721160889,0.0
0,BAG_10_p3_1_deadline,2,6310.0,1.8410000801086426,1.8890275955200195,0.0
0,BAG_10_p3_2_makespan,2,6586.0,3.5429999828338623,3.591615915298462,0.0
0,BAG_10_p3_2_deadline,2,5506.0,2.7839999198913574,2.8348960876464844,0.0
0,BAG_10_p3_3_makespan,2,6865.0,2.2790000438690186,2.3314578533172607,0.0
0,BAG_10_p3_3_deadline,2,5785.0,3.815999984741211,3.866489887237549,0.0
0,BAG_10_p3_4_makespan,2,6787.0,1.375,1.4251058101654053,0.0
0,BAG_10_p3_4_deadline,2,5707.0,2.298999786376953,2.3461802005767822,0.0
0,BAG_10_p3_5_makespan,2,6650.0,2.515000104904175,2.5658674240112305,0.0
0,BAG_10_p3_5_deadline,2,5570.0,2.6560001373291016,2.708390474319458,0.0
0,BAG_10_p4_1_makespan,2,7471.0,0.6289999485015869,0.6782877445220947,0.0
0,BAG_10_p4_1_deadline,2,6391.0,1.000999927520752,1.0492079257965088,0.0
0,BAG_10_p4_2_makespan,2,6964.0,4.2170000076293945,4.263835430145264,0.0
0,BAG_10_p4_2_deadline,2,5884.0,5.928999900817871,5.9804933071136475,0.0
0,BAG_10_p4_3_makespan,2,6956.0,2.3340001106262207,2.3878462314605713,0.0
0,BAG_10_p4_3_deadline,2,5876.0,2.825000047683716,2.8737735748291016,0.0
0,BAG_10_p4_4_makespan,2,6993.0,2.2170000076293945,2.2676475048065186,0.0
0,BAG_10_p4_4_deadline,2,5913.0,1.7759997844696045,1.8269155025482178,0.0
0,BAG_10_p4_5_makespan,2,7076.0,1.8969998359680176,1.9506032466888428,0.0
0,BAG_10_p4_5_deadline,2,5996.0,2.0309998989105225,2.0809006690979004,0.0
0,BAG_10_p5_1_makespan,2,6964.0,0.9900000095367432,1.038602352142334,0.0
0,BAG_10_p5_1_deadline,2,5884.0,1.1160001754760742,1.1651723384857178,0.0
0,BAG_10_p5_2_makespan,2,6795.0,0.8889999389648438,0.9358699321746826,0.0
0,BAG_10_p5_2_deadline,2,5715.0,1.7599999904632568,1.8081231117248535,0.0
0,BAG_10_p5_3_makespan,2,6927.0,2.8380000591278076,2.8870863914489746,0.0
0,BAG_10_p5_3_deadline,2,5847.0,2.069000005722046,2.1227123737335205,0.0
0,BAG_10_p5_4_makespan,2,6910.0,2.063999891281128,2.113638162612915,0.0
0,BAG_10_p5_4_deadline,2,5830.0,1.369999885559082,1.4214532375335693,0.0
0,BAG_10_p5_5_makespan,2,6491.0,4.139999866485596,4.1902642250061035,0.0
0,BAG_10_p5_5_deadline,2,5411.0,3.7910001277923584,3.845777750015259,0.0
0,GNR_10_p2_1_makespan,2,5137.0,17.80999994277954,17.86260461807251,0.0
0,GNR_10_p2_1_deadline,2,4057.0,20.319999933242798,20.379866361618042,0.0
0,GNR_10_p2_2_makespan,2,5695.0,2.8910000324249268,2.9517769813537598,0.0
0,GNR_10_p2_2_deadline,2,4615.0,1.9649999141693115,2.021267890930176,0.0
0,GNR_10_p2_3_makespan,2,5081.0,9.805000066757202,9.856244087219238,0.0
0,GNR_10_p2_3_deadline,2,4001.0,15.397000074386597,15.452795505523682,0.0
0,GNR_10_p2_4_makespan,2,5355.0,10.544000148773193,10.604593515396118,0.0
0,GNR_10_p2_4_deadline,2,4275.0,17.18400001525879,17.242555856704712,0.0
0,GNR_10_p2_5_makespan,2,5265.0,8.611999988555908,8.869075775146484,0.0
0,GNR_10_p2_5_deadline,2,4185.0,13.037999868392944,13.095331192016602,0.0
0,GNR_10_p3_1_makespan,2,5396.0,17.438999891281128,17.49916672706604,0.0
0,GNR_10_p3_1_deadline,2,4316.0,23.52900004386902,23.59026288986206,0.0
0,GNR_10_p3_2_makespan,2,5865.0,68.13600015640259,68.1979763507843,0.0
0,GNR_10_p3_2_deadline,2,4785.0,38.418999910354614,38.482832193374634,0.0
0,GNR_10_p3_3_makespan,2,5310.0,10.652999877929688,10.72049331665039,0.0
0,GNR_10_p3_3_deadline,2,4230.0,23.163999795913696,23.232831478118896,0.0
0,GNR_10_p3_4_makespan,2,5444.0,6.825999975204468,6.888150930404663,0.0
0,GNR_10_p3_4_deadline,2,4364.0,6.307999849319458,6.368065118789673,0.0
0,GNR_10_p3_5_makespan,2,5562.0,5.254999876022339,5.314158916473389,0.0
0,GNR_10_p3_5_deadline,2,4482.0,5.129999876022339,5.186920166015625,0.0
0,GNR_10_p4_1_makespan,2,5319.0,30.68400001525879,30.74087119102478,0.0
0,GNR_10_p4_1_deadline,2,4239.0,24.359999895095825,24.421024560928345,0.0
0,GNR_10_p4_2_makespan,2,5501.0,15.663000106811523,15.726329803466797,0.0
0,GNR_10_p4_2_deadline,2,4421.0,13.953999996185303,14.022168159484863,0.0
0,GNR_10_p4_3_makespan,2,5970.0,22.613999843597412,22.67606210708618,0.0
0,GNR_10_p4_3_deadline,2,4890.0,9.644000053405762,9.706841945648193,0.0
0,GNR_10_p4_4_makespan,2,5522.0,17.990000009536743,18.05156898498535,0.0
0,GNR_10_p4_4_deadline,2,4442.0,9.105999946594238,9.166396856307983,0.0
0,GNR_10_p4_5_makespan,2,5275.0,43.36099982261658,43.42118191719055,0.0
0,GNR_10_p4_5_deadline,2,4195.0,20.038000106811523,20.104005336761475,0.0
0,GNR_10_p5_1_makespan,2,5670.0,4.825000047683716,4.892179250717163,0.0
0,GNR_10_p5_1_deadline,2,4590.0,5.483000040054321,5.543820381164551,0.0
0,GNR_10_p5_2_makespan,2,5449.0,13.263000011444092,13.324677228927612,0.0
